
game 0 
gen, best, mean, std, median, q1, q3, life
6, 75.490612, 66.365906, 17.56241, 75.474547, 75.474547, 56.991187, 0.4
7, 75.490612, 63.022116, 20.961562, 66.634024, 75.474547, 66.161627, 0.4
8, 75.490612, 67.504111, 11.086419, 66.629373, 75.474547, 66.497799, 0.4
9, 75.490612, 66.077504, 16.86271, 66.634024, 75.490612, 66.498742, 0.4
10, 75.498742, 66.088208, 21.410936, 75.490612, 75.490612, 66.585331, 0.4
11, 75.498742, 70.530761, 6.383498, 75.396392, 75.490612, 66.516282, 7.6
12, 75.498742, 67.141829, 17.597278, 75.478547, 75.490612, 66.627047, 7.6
13, 75.498742, 68.190633, 11.439616, 70.78862, 75.497723, 66.252976, 7.6
14, 75.498742, 68.024781, 12.093776, 75.408818, 75.498742, 66.191871, 7.6
15, 75.498742, 65.726097, 19.187544, 75.482547, 75.498742, 66.503858, 7.6
game 8 
gen, best, mean, std, median, q1, q3, life
0, 74.940877, 1.196132, 17.312466, -5.743003, 1.753811, -5.783825, 0.0
1, 86.830654, 28.854666, 31.253782, 12.234809, 57.473318, 3.500842, 22.6
2, 86.830654, 54.952034, 22.893909, 66.174, 66.203942, 56.892977, 22.6
3, 86.830654, 67.999323, 8.836832, 66.174, 75.127736, 66.007939, 22.6
4, 86.830654, 68.398295, 19.406855, 66.381882, 86.434544, 66.174, 22.6
5, 86.830654, 77.744693, 15.009744, 86.830654, 86.830654, 68.740492, 22.6
6, 86.830654, 81.148098, 15.473974, 86.830654, 86.830654, 85.25849, 22.6
7, 86.830654, 81.042019, 14.056787, 86.830654, 86.830654, 85.178041, 22.6
8, 89.350675, 70.413577, 28.942998, 86.830654, 86.830654, 66.174, 52.0
9, 89.350675, 75.776048, 22.12029, 86.830654, 86.830654, 77.736418, 52.0
10, 89.410675, 76.57684, 22.232586, 86.772852, 86.89505, 85.081214, 52.6
11, 89.410675, 68.284502, 31.062889, 85.835317, 87.670654, 52.61119, 52.6
12, 89.410675, 69.603903, 31.156006, 85.276214, 89.350675, 74.886318, 52.6
13, 89.410675, 77.992698, 23.890807, 89.350675, 89.350675, 85.073041, 52.6
14, 89.410675, 75.767877, 26.768358, 88.840665, 89.410675, 77.642642, 52.6
15, 89.410675, 62.073996, 38.13456, 89.350675, 89.410675, 14.715585, 52.6
game 9 
gen, best, mean, std, median, q1, q3, life
0, 75.197882, 2.509978, 20.037313, -5.731721, -2.739341, -5.777652, 0.0
1, 75.197882, 28.903855, 30.855551, 26.405667, 57.036421, -2.70805, 0.0
2, 75.197882, 53.634832, 23.515691, 57.036421, 66.174, 57.036421, 0.0
3, 85.59289, 63.115251, 16.137711, 66.174, 75.197882, 57.036421, 13.0
4, 85.59289, 75.014891, 8.749995, 75.197882, 84.805657, 75.182153, 13.0
5, 85.709573, 80.372614, 7.370145, 85.53289, 85.589573, 75.24505, 14.2
6, 85.709573, 80.621019, 7.844481, 85.589573, 85.592061, 75.224783, 14.2
7, 85.71289, 78.98554, 10.163845, 85.589573, 85.59289, 75.194154, 14.2
8, 85.71289, 79.584583, 7.361448, 85.529573, 85.709573, 75.196376, 14.2
9, 85.71289, 79.777915, 7.173409, 85.561231, 85.709573, 75.205467, 14.2
10, 85.71289, 80.154223, 8.29812, 85.649578, 85.712061, 75.196376, 14.2
11, 85.71289, 78.93532, 8.785926, 85.591231, 85.71289, 75.195619, 14.2
12, 85.71289, 77.251586, 10.686765, 85.589573, 85.71289, 75.178438, 14.2
13, 85.71289, 77.044734, 10.76287, 85.501231, 85.71289, 75.174738, 14.2
14, 85.71289, 80.530042, 8.317896, 85.709573, 85.71289, 75.2086, 14.2
15, 85.71289, 81.413159, 7.106852, 85.709573, 85.71289, 75.250607, 14.2
