

game 0 
gen, best, mean, std, median, q1, q3, life
7, 87.280925, 51.656631, 30.337722, 33.168701, 86.853496, 22.076401, 31.67989
8, 87.280925, 60.845635, 29.137137, 86.121451, 87.205963, 28.122524, 31.67989
9, 87.402041, 72.083356, 25.799645, 86.942503, 87.205963, 68.953336, 32.51558
10, 87.402041, 71.524958, 25.176146, 86.862677, 87.205963, 57.412688, 32.51558
11, 87.591696, 67.635471, 26.521274, 86.864421, 87.205963, 33.776743, 34.346537
12, 87.591696, 61.424409, 27.000974, 70.129813, 87.178382, 33.656123, 34.346537
13, 87.591696, 65.655658, 25.804669, 86.680784, 87.299375, 41.044072, 34.346537
14, 87.591696, 67.096006, 28.538641, 87.241136, 87.485818, 33.109763, 34.346537
15, 87.591696, 73.358572, 24.737192, 87.308161, 87.591696, 73.870303, 34.346537
game 9 
gen, best, mean, std, median, q1, q3, life
0, 36.759837, 0.488622, 11.196905, -6.102094, 5.001493, -6.334623, 13.479911
1, 63.941987, 16.450284, 16.664993, 19.275484, 27.046631, 1.291391, 17.050656
2, 88.887843, 31.364469, 22.001179, 31.52588, 39.700988, 19.581044, 48.091939
3, 88.887843, 43.697212, 22.831187, 33.392341, 63.485438, 26.303997, 48.091939
4, 88.887843, 52.939999, 23.455233, 62.928177, 63.571553, 32.891853, 48.091939
5, 88.887843, 58.601817, 24.113711, 63.434275, 86.338486, 33.429444, 48.091939
6, 88.887843, 59.742942, 24.139589, 62.805211, 86.488137, 39.799886, 48.091939
7, 89.169879, 52.647932, 25.618981, 57.324197, 68.261121, 26.334346, 50.952298
8, 89.169879, 63.261219, 23.848085, 63.595108, 88.887843, 42.491412, 50.952298
9, 89.169879, 66.437902, 23.921036, 70.757459, 88.905499, 50.279604, 50.952298
10, 89.169879, 79.471341, 15.487451, 88.793085, 89.073257, 70.774115, 50.952298
11, 89.169879, 83.960232, 14.07305, 89.008035, 89.129148, 88.738559, 50.952298
12, 89.169879, 67.545489, 27.950535, 88.812528, 89.114165, 43.708014, 50.952298
13, 89.169879, 78.359021, 19.282586, 88.857315, 89.110239, 72.531137, 50.952298
14, 89.169879, 73.660192, 25.652173, 88.84518, 89.125403, 56.757585, 50.952298
15, 89.169879, 73.661097, 22.178322, 88.772929, 89.006189, 57.769635, 50.952298
