
game 0 
gen, best, mean, std, median, q1, q3, life
13, 93.989365, 93.686521, 0.455932, 93.789365, 93.789365, 93.789365, 90.0
14, 93.989365, 93.933365, 0.0898, 93.989365, 93.989365, 93.789365, 90.0
15, 93.989365, 93.989365, 3e-06, 93.989365, 93.989365, 93.989365, 90.0
game 8 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 28.618851, 40.006535, 12.225448, 85.622442, -5.545177, 74.0
1, 93.127, 80.444033, 18.805372, 87.727, 91.721789, 85.749638, 84.0
2, 93.127, 84.619824, 16.478031, 91.772379, 91.772379, 87.727, 84.0
3, 93.127, 86.748574, 14.76229, 91.772379, 91.772379, 91.772379, 84.0
4, 93.127, 86.277783, 14.930853, 91.772379, 92.127, 91.73704, 84.0
5, 93.127, 90.654057, 4.4854, 91.80971, 92.399638, 91.772379, 84.0
6, 93.127, 88.14224, 13.19468, 92.13704, 92.53704, 91.772379, 84.0
7, 93.127, 89.592289, 8.619318, 92.43202, 92.927, 91.648368, 84.0
8, 93.127, 87.833688, 13.072147, 92.327, 92.877, 90.976825, 84.0
9, 93.127, 88.968176, 12.620281, 92.53202, 92.927, 91.493255, 84.0
10, 93.527, 92.261051, 1.275726, 92.927, 93.127, 91.811034, 88.0
11, 93.527, 92.763575, 0.739646, 93.127, 93.127, 92.527, 88.0
12, 93.527, 92.760482, 0.877678, 93.127, 93.127, 92.627, 88.0
13, 93.527, 92.987262, 0.904083, 93.527, 93.527, 92.927, 88.0
14, 93.527, 93.056265, 0.938541, 93.527, 93.527, 92.927, 88.0
15, 93.527, 92.977287, 1.147664, 93.527, 93.527, 92.927, 88.0
game 9 
gen, best, mean, std, median, q1, q3, life
0, 92.33704, 29.768894, 39.116391, 20.837184, 76.450662, -5.723952, 80.0
1, 92.33704, 70.95801, 26.915502, 87.727, 91.772379, 41.453942, 80.0
2, 92.33704, 89.399106, 7.600534, 91.772379, 91.772379, 91.772379, 80.0
3, 92.33704, 89.053831, 9.332455, 91.772379, 91.772379, 91.772379, 80.0
4, 92.33704, 85.112854, 16.875132, 91.772379, 91.772379, 91.422379, 80.0
5, 92.33704, 86.605055, 13.235261, 91.772379, 91.772379, 91.622379, 80.0
6, 92.33704, 76.124067, 25.479465, 91.772379, 91.772379, 61.527388, 80.0
7, 92.33704, 82.673148, 17.174938, 91.772379, 91.772379, 86.474594, 80.0
8, 92.33704, 86.975137, 12.840427, 91.772379, 92.33704, 91.772379, 80.0
9, 92.927, 88.524765, 9.99528, 92.33704, 92.33704, 91.772379, 82.0
10, 92.927, 86.953879, 12.58816, 92.19204, 92.33704, 91.593275, 82.0
11, 92.927, 88.805013, 9.355896, 92.33704, 92.33704, 91.772379, 82.0
12, 92.927, 90.472545, 6.557787, 92.33704, 92.33704, 92.281106, 82.0
13, 93.127, 92.242106, 1.660843, 92.927, 92.927, 92.33704, 84.0
14, 93.127, 92.895908, 0.2402, 92.927, 92.927, 92.927, 84.0
15, 93.127, 93.023, 0.09992, 92.927, 93.127, 92.927, 84.0
